Product,Name,Price (INR),Rating,Comment Heading,Comment
Gigabyte NVIDIA GT 710 2 GB GDDR5 Graphics Card,RAAZ MALHOTRA,3450.0,1,Absolute rubbish!,Ordered GDDR5 received GDDR3 ðŸ˜¡No Replacement They are providing Refund
Gigabyte NVIDIA GT 710 2 GB GDDR5 Graphics Card,Flipkart Customer,3450.0,4,Pretty good,working great playing all games at 30-60 fps
Gigabyte NVIDIA GT 710 2 GB GDDR5 Graphics Card,Atif Albasar,3450.0,4,Wonderful,Running games at good 30-40 fps
Gigabyte NVIDIA GT 710 2 GB GDDR5 Graphics Card,Chandrakant Patil,3450.0,5,Mind-blowing purchase,superb card you can play gta 5 on full settings easily ðŸ‘ŒðŸ‘ŒðŸ‘Œ
Gigabyte NVIDIA GT 710 2 GB GDDR5 Graphics Card,Flipkart Customer,3450.0,1,Utterly Disappointed,Not good  No return  remember
Gigabyte NVIDIA GT 710 2 GB GDDR5 Graphics Card,Pranav warke,3450.0,5,Great product,good..product..mala tar khup awdla pan khup lightwight ahe..saglya game run hotat
Gigabyte NVIDIA GT 710 2 GB GDDR5 Graphics Card,Flipkart Customer,3450.0,5,Terrific purchase,nice
Gigabyte NVIDIA GT 710 2 GB GDDR5 Graphics Card,Alangir Mondal,3450.0,5,Brilliant,good product
Gigabyte NVIDIA GT 710 2 GB GDDR5 Graphics Card,No Name,3450.0,No Rating,No Comment Heading,
GALAX NVIDIA GEFORCE GT 730 4GB DDR3 4 GB GDDR3 Graphics Card,Swapnil Joshi,6000.0,5,Classy product,"Awesome Product, Great Performance , Nvidia has been always been a best in the businessThanks to flipkart and Nvidia"
GALAX NVIDIA GEFORCE GT 730 4GB DDR3 4 GB GDDR3 Graphics Card,Surya,6000.0,5,Classy product,nice
GALAX NVIDIA GEFORCE GT 730 4GB DDR3 4 GB GDDR3 Graphics Card,Varun Singh Rana,6000.0,5,Great product,medium graphic card but best for dual core and i3 processors
GALAX NVIDIA GEFORCE GT 730 4GB DDR3 4 GB GDDR3 Graphics Card,KUSHRAM VINOD,6000.0,5,Terrific purchase,Graphic card is gud and system is working fine with high graphic games
GALAX NVIDIA GEFORCE GT 730 4GB DDR3 4 GB GDDR3 Graphics Card,Seena S,6000.0,4,Good quality product,good product
GALAX NVIDIA GEFORCE GT 730 4GB DDR3 4 GB GDDR3 Graphics Card,Battu Asha,6000.0,2,Slightly disappointed,worst
GALAX NVIDIA GEFORCE GT 730 4GB DDR3 4 GB GDDR3 Graphics Card,Mukhtar Ahmed,6000.0,3,Fair,It is too large I an not install in my PC . Showing no return policy whil I was purching it is not reflected on my order
GALAX NVIDIA GEFORCE GT 730 4GB DDR3 4 GB GDDR3 Graphics Card,rama chandran,6000.0,5,Great product,Super
GALAX NVIDIA GEFORCE GT 730 4GB DDR3 4 GB GDDR3 Graphics Card,No Name,6000.0,No Rating,No Comment Heading,
Electrobot i3-9100F (8 GB RAM/1 TB Hard Disk/120 GB SSD Capacity/Free DOS/4 GB Graphics Memory) Mid Tower,Flipkart Customer,41999.0,5,Super!,First of all I'm very happy because I got a windows 10 Home installed and all the drivers are also installed I was not expecting this because it's written free dos.  . Okay  I got what it's written except smps 400w but it's a very good brand (xigmatex) . 400w I think it's enough for this specs.  GPU- GALAX .. RAM- G SKILLS.. MSI motherboard. And lastly they give me wifi us adapter..   Thank you All.
Electrobot i3-9100F (8 GB RAM/1 TB Hard Disk/120 GB SSD Capacity/Free DOS/4 GB Graphics Memory) Mid Tower,Saunak  Jana,41999.0,5,Best in the market!,"I think i am very lucky to get this BEAST in rs 31,999. I searched many places for this combination and only this one had it in that budget. So far performance has been like a hot knife on butter. Just after my purchase the price hiked to rs 39,999."
Electrobot i3-9100F (8 GB RAM/1 TB Hard Disk/120 GB SSD Capacity/Free DOS/4 GB Graphics Memory) Mid Tower,Flipkart Customer,41999.0,5,Highly recommended,Budget king
